"PARENT-DIST-NAME","COMPANY-NAME","BRANCH","CUSTNUMBER","CUSTNAME","CUST-COUNTRY","VEND-PART-NO","ARW-PART-NO","INVOICE-NO","INVOICE-LI","INVOICE-DATE","INVOICE-QTY","UNIT-PRICE","CUR-CODE","TRAN-TYPE","NEDA","ACCOUNTING-PERIOD","SHIP-DEBIT-COST","SHIP-DEBIT-CUR-CODE","SHIP-DEBIT-NO"
"ARROW","ARROW ASIA PAC LIMITED","10353","2284838","HIKVISION INTERNATIONAL CO., LTD.","HK","SIT9005AI-12-18ED25.000000E","SIT9005AI-12-18ED25.000000E","292/604090010437","1","20200326","-4000","0.3300","USD","RP","NONEDISITIME","202003","0.2970"," USD",""
"ARROW","ARROW ASIA PAC LIMITED","10353","2284838","HIKVISION INTERNATIONAL CO., LTD.","HK","SIT9005AI-12-18ED25.000000E","SIT9005AI-12-18ED25.000000E","292/604021071182","1","20200324","4000","0.3300","USD","SS","NONEDISITIME","202003","0.2970"," USD",""
"ARROW","ARROW ASIA PAC LIMITED","10353","2284838","HIKVISION INTERNATIONAL CO., LTD.","HK","SIT1572AI-J3-33E-DCC-32.768E","SIT1572AI-J3-33E-DCC-32.768E","292/604021057628","1","20200303","6000","0.3500","USD","SS","NONEDISITIME","202003","0.3150"," USD",""
"ARROW","ARROW ASIA PAC LIMITED","10353","2284375","CHONGQING HIKVISION TECHNOLOGY CO.,","CN","SIT9005AI-22-18ND27.000000E","SIT9005AI-22-18ND27.000000E","292/604021056990","1","20200302","16000","0.3300","USD","SS","NONEDISITIME","202003","0.3030"," USD",""
"ARROW","ARROW ASIA PAC LIMITED","10353","2284375","CHONGQING HIKVISION TECHNOLOGY CO.,","CN","SIT9005AI-22-18ND27.000000E","SIT9005AI-22-18ND27.000000E","292/604021070005","1","20200323","16000","0.3300","USD","SS","NONEDISITIME","202003","0.3030"," USD",""
"ARROW","ARROW ASIA PAC LIMITED","10353","2284375","CHONGQING HIKVISION TECHNOLOGY CO.,","CN","SIT9005AI-22-18ND24000000E","SIT9005AI-22-18ND24000000E","292/604021059830","1","20200306","103000","0.3300","USD","SS","NONEDISITIME","202003","0.3030"," USD",""
"ARROW","ARROW ASIA PAC LIMITED","10353","2284838","HIKVISION INTERNATIONAL CO., LTD.","HK","SIT1552AI-JE-DCC-32.768E","SIT1552AI-JE-DCC-32.768E","292/604021061503","1","20200310","1000","0.5600","USD","SS","NONEDISITIME","202003","0.5100"," USD",""
"ARROW","ARROW ASIA PAC LIMITED","10353","2461556","Hangzhou EZVIZ Network Co., Ltd.","CN","SIT1572AI-J3-33E-DCC-32.768E","SIT1572AI-J3-33E-DCC-32.768E","292/604021058243","1","20200304","57000","0.3500","USD","SS","NONEDISITIME","202003","0.3150"," USD",""
"ARROW","ARROW ASIA PAC LIMITED","10353","2284838","HIKVISION INTERNATIONAL CO., LTD.","HK","SIT9005AI-12-XXND27.000000E","SIT9005AI-12-XXND27.000000E","292/604021057874","1","20200303","30000","0.3300","USD","SS","NONEDISITIME","202003","0.3030"," USD",""
"ARROW","ARROW ASIA PAC LIMITED","10353","2284838","HIKVISION INTERNATIONAL CO., LTD.","HK","SIT9005AI-22-18ND24000000E","SIT9005AI-22-18ND24000000E","292/604021057865","1","20200303","88000","0.3300","USD","SS","NONEDISITIME","202003","0.3030"," USD",""
