H,BRANCH,CITY,STATE,ZIP,PART NO,QTY, ,IVC NBR,DATE,COST,PRICE,RES.EXT,ACCT.,NAME,CUST PO#,SHIP DATE,SHIP NBR,COUNTRY CODE,ID,CURRENCY CODE,EXCHANGE RATE,ID,CURRENCY CODE,EXCHANGE DATE
L,PL,ZALAEGERSZEG,EX,8900,SiT8924BE-72-XXE-12.000000E,50, ,55860909,20200302,0.744,1.65,82.5,5053173,FLEXTRONICS INTERNATIONAL,452D02661,20200302,,HU,BY,USD,1,SE,USD,20200302
L,PL,ZALAEGERSZEG,EX,8900,SIT8924BA-73-18E-25.000000G,50, ,55860909,20200302,1.124,2.35,117.5,5053173,FLEXTRONICS INTERNATIONAL,452D02661,20200302,,HU,BY,USD,1,SE,USD,20200302
L,WEB,KOWLOON,EX,0,SiT5157AI-FK-33N0-100.000000X,2, ,55873932,20200302,25.2551,45.24,90.48,5923406,"HONG KONG WANLUTONG INTERNATIONAL LOGISTICS CO., LIMITED",PO213879,20200302,,HK,BY,USD,1,SE,USD,20200302
L,WEB,NAGANO,EX,3850021,SIT8008BI-23-18E-33.333333G,134, ,55890644,20200302,0.45,0.716,95.944,5764466,"CORE STAFF CO., LTD (C)",200302JA0306-09,20200302,,JP,BY,USD,1,SE,USD,20200302
L,WEB,RENTON,WA,98057,SIT9120AI-2D3-33E200.000000X,5, ,55899495,20200302,1.596,2.99,14.95,1140512,OUT OF THE BOX MANUFACTURING,M200480,20200302,,US,BY,USD,1,SE,USD,20200302
L,WEB,MISSISSAUGA,ON,L5R 3E7,SiT8008BC-23-33E-90.000000G,7, ,55899779,20200302,0.43,1.268,8.876,5112543,AVERSAN INC,6034,20200302,,CA,BY,USD,1,SE,USD,20200302
L,WEB,KOWLOON,EX,0,SiT8103AI-13-18E-25.00000X,4, ,55893103,20200302,0.72,1.49,5.96,5923406,"HONG KONG WANLUTONG INTERNATIONAL LOGISTICS CO., LIMITED",PO214095,20200302,,HK,BY,USD,1,SE,USD,20200302
L,WEB,HOLLAND,OH,43528,SIT8924BA-22-33E-8.192000G,20, ,55900001,20200302,1.475,3.1,62,1582918,ELECTRONIC CONCEPTS & ENG,24789,20200302,,US,BY,USD,1,SE,USD,20200302
L,WEB,MISSISSAUGA,ON,L5R 3E7,SiT8008BC-23-33E-90.000000G,5, ,55900418,20200302,0.43,1.268,6.34,5112543,AVERSAN INC,6042,20200302,,CA,BY,USD,1,SE,USD,20200302
L,WEB,HA NOI,EX,0,SiT8103AI-23-33E-33.33300X,13, ,55874066,20200302,0.6,1.59,20.67,5571982,"TRACE - TEC VIET NAM CO. LTD.,",TT-LNA-FILTER-C1-BS,20200302,,VN,BY,USD,1,SE,USD,20200302
